id,name,released,rating,ratings_count,metacritic,playtime,genres,platforms
364811,The Eternal Cylinder,2021-09-30,3.46,26,80.0,1,"Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X"
10877,Ghost Song,2022-11-03,3.33,14,80.0,1,"Indie, Action","PC, Nintendo Switch, macOS, Linux"
368952,SnowRunner,2020-04-28,3.99,273,80.0,6,Racing,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch"
326292,Fall Guys: Ultimate Knockout,2020-08-04,3.74,1337,80.0,6,"Action, Casual, Sports, Indie, Massively Multiplayer","PC, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch"
397477,Resident Evil 3,2020-04-02,4.04,1040,80.0,8,"Shooter, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch"
442866,Paper Mario: The Origami King,2020-07-17,3.98,108,80.0,0,"Adventure, Action, RPG",Nintendo Switch
418471,Hidden Through Time,2020-03-12,3.76,45,80.0,3,"Casual, Educational, Puzzle","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS"
398406,Ruined King: A League of Legends Story,2021-11-15,3.83,65,80.0,4,RPG,"PC, Xbox One, PlayStation 4, Nintendo Switch"
268363,Prodeus,2022-09-23,3.92,112,80.0,2,"Indie, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS, Linux"
378579,Teardown,2022-04-21,4.17,215,80.0,3,"Strategy, Indie, Action, Simulation","PC, PlayStation 5"
412477,Skul: The Hero Slayer,2021-01-21,3.59,136,80.0,4,"Indie, Action","PC, Xbox One, Nintendo Switch, macOS, Linux"
45972,UnderMine,2020-08-06,3.82,103,80.0,5,"Indie, Adventure, Action, RPG","PC, Xbox One, PlayStation 4, Nintendo Switch"
261232,Eastward,2021-09-16,3.67,95,80.0,4,"Indie, Adventure, RPG","PC, Xbox One, Nintendo Switch, macOS"
